timestamp,temperature,humidity,light,sound,distance,motion
1776478019226,17.0,76.0,312,1,514,0
1776478029735,17.0,76.0,312,2,514,0
1776478040268,17.0,76.0,312,1,513,0
1776478050802,17.0,76.0,312,1,514,0
1776478061286,17.0,76.0,312,2,514,0
1776478071794,17.0,76.0,312,2,513,0
1776478082328,17.0,76.0,311,1,514,0
1776478092839,17.0,76.0,311,1,514,0
1776478103372,17.0,76.0,311,2,514,0
1776478113878,17.0,76.0,312,2,514,0
1776478124411,17.0,76.0,311,1,514,0
1776478134918,17.0,76.0,311,1,514,0
1776478145450,17.0,76.0,311,2,514,0
1776478155982,17.0,76.0,312,1,514,0
1776478166540,17.0,76.0,311,2,514,0
1776478177048,17.0,76.0,312,1,514,0
1776478187584,17.0,76.0,311,1,514,0
1776478198091,17.0,76.0,311,2,514,0
1776478208625,17.0,76.0,312,1,514,0
1776478219157,17.0,76.0,312,2,514,0
1776478229689,17.0,76.0,312,2,514,0
1776478240197,17.0,76.0,311,1,514,0
1776478250703,17.0,76.0,311,1,513,0
1776478261185,17.0,76.0,311,1,514,0
1776478271718,17.0,76.0,312,1,514,0
1776478282250,17.0,76.0,313,2,514,0
1776478292761,17.0,76.0,313,1,514,0
1776478303268,17.0,76.0,313,2,514,0
1776478313799,17.0,76.0,311,2,514,0
1776478324331,17.0,76.0,311,1,514,0
1776478334814,17.0,76.0,312,1,513,0
1776478345346,17.0,76.0,312,1,514,0
1776478345346,17.0,76.0,312,1,514,0
1776478355878,17.0,76.0,313,1,514,0
1776478366360,17.0,76.0,311,2,513,0
1776478376866,17.0,76.0,311,1,513,0
1776478387374,17.0,76.0,312,1,514,0
1776478397957,17.0,76.0,312,0,515,2
1776478408490,17.0,76.0,311,0,514,0
1776478419023,17.0,76.0,312,2,514,0
1776478429529,17.0,76.0,312,2,514,0
1776478440035,17.0,76.0,311,1,513,0
1776478450566,17.0,76.0,312,2,514,0
1776478461099,17.0,76.0,312,3,514,0
1776478471606,17.0,76.0,312,2,514,0
1776478482112,17.0,76.0,312,2,514,0
1776478492619,17.0,76.0,313,2,514,0
1776478503150,17.0,76.0,312,1,514,0
1776478513658,17.0,76.0,312,1,513,0
1776478524164,17.0,76.0,311,1,514,0
1776478534671,17.0,76.0,312,1,513,0
1776478545229,17.0,76.0,1,514,514,0
1776478555711,17.0,76.0,312,1,514,0
1776478566244,17.0,76.0,312,1,514,0
1776478576776,17.0,76.0,312,2,514,0
1776478587308,17.0,76.0,312,2,514,0
1776478597765,17.0,76.0,311,1,514,0
1776478608272,17.0,76.0,312,2,514,0
1776478618805,17.0,76.0,311,2,514,0
1776478629336,17.0,76.0,311,2,514,0
1776478639844,17.0,76.0,311,1,513,0
1776478650377,17.0,76.0,312,2,514,0
1776478660884,17.0,76.0,312,0,514,0
1776478671416,17.0,76.0,311,2,514,0
1776478681899,17.0,76.0,311,0,513,0
1776478692432,17.0,76.0,311,1,514,0
1776478702939,17.0,76.0,312,1,514,0
1776478713470,17.0,76.0,311,1,514,0
1776478723978,17.0,76.0,312,2,513,0
1776478734434,17.0,76.0,312,0,513,0
1776478744969,17.0,76.0,311,1,514,0
1776478755501,17.0,76.0,311,1,514,0
1776478766033,17.0,76.0,312,1,514,0
1776478776565,17.0,76.0,311,1,514,0
1776478787096,17.0,76.0,311,2,514,0
1776478797628,17.0,76.0,312,1,514,0
1776478808135,17.0,76.0,312,2,514,0
1776478818669,17.0,76.0,311,2,514,0
1776478829176,17.0,76.0,312,2,514,0
1776478839682,17.0,76.0,311,2,514,0
1776478850217,17.0,76.0,312,1,514,0
1776478860750,17.0,76.0,312,2,514,0
1776478871281,17.0,76.0,312,2,514,0
1776478881786,17.0,76.0,311,0,514,0
1776478892293,17.0,76.0,312,2,514,0
1776478902825,17.0,76.0,311,2,514,0
1776478913332,17.0,76.0,313,2,514,0
1776478923840,17.0,76.0,312,2,514,0
1776478934373,17.0,76.0,312,2,514,0
1776478944881,17.0,76.0,312,1,514,0
1776478955414,17.0,76.0,312,2,514,0
